bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	wordcount	avgsentiment	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
KEYES, FRANCES PARKINSON (WHEELER) (MRS HENRY WILDER KEYES).	Career of David Noble.	232	1.9	Stokes 21-18092	summary	summary	"After David David French Huntingdon Jacqueline Jacqueline Lit London Noble R The The Vermont a a a a again an and and are are author be become belle boy brings broken but characters chief continental customary dancer daughter dour early famous farm finally happy in is matters of renewed romance separated solution.""— sophisticated surgeon tHe the the the the to to to troth two vivacious"	2750	3.0802403204299997	0	4	5	keyes + fp + career of david noble	1.7739894926408106
KEYES, FRANCES PARKINSON (WHEELER) (MRS HENRY WILDER KEYES).	Career of David Noble.	232	1.9	Stokes 21-18092	Boston Transcript	p4 D 24 '21 1050w	'Career A D David It L M Noble' a almost analysis are be between big book book careful feel from grades in is it leaps moments of of of peak peak possible reveals that the the tho to to to unimportant while	2750	3.0802403204299997	0	4	5	keyes + fp + career of david noble	1.7739894926408106
KEYES, FRANCES PARKINSON (WHEELER) (MRS HENRY WILDER KEYES).	Career of David Noble.	232	1.9	Stokes 21-18092	Lit R	p239 D 3 '21 160w	Impossible Is It a and bald imaginativeness melodrama of past story the theatrical	2750	3.0802403204299997	0	4	5	keyes + fp + career of david noble	1.7739894926408106
KEYES, FRANCES PARKINSON (WHEELER) (MRS HENRY WILDER KEYES).	Career of David Noble.	232	1.9	Stokes 21-18092	N Y Times	p6 D 4 '21 850w	  A David Lansing Noble Robert The attractive character drawn exceptionally is of story very well	2750	3.0802403204299997	0	4	5	keyes + fp + career of david noble	1.7739894926408106
KEYES, FRANCES PARKINSON (WHEELER) (MRS HENRY WILDER KEYES).	Career of David Noble.	232	1.9	Stokes 21-18092	Sprlngf'd Republican	p!3a D 4 '21 680w	234 If If Improbability Is Is and and attainment author back because between beyond dissimilarity draws dull eminent escape experience fiction her hero heroine his in in in in infrequently it it let melodramatic not on pass perfections relief romantic such super- super-perfect the the the the the the theatrical there time to verges we years	2750	3.0802403204299997	0	4	5	keyes + fp + career of david noble	1.7739894926408106
RUNKLE, BERTHA BROOKS (MRS LOUIS H. BASH).	Island, il	372	1.75	(3%c) Century	summary	summary	Bill Bill's Carrington Carrington Carrington's Each His In In Is Justified Lea Mary Mary Mary Mary Mary's Young a a a a a a absorbing after agreeable and and and and and and and attentions between brought choose come completely concentrate conies contentedly convinced critical decent decides deeply dignity distorted divorce each elects faithful father father father fills flnds for for frankness from give go goes gossip graceful group has has has having he he her her her her her herself him his his if in in interest is it life life like love makes marries meantime meet melodrama mind not not now obtaining of of of of of of on on one one own people personal problem profession rational relations retreat sensibly separate set small social some son stage story struggle tackles tale that that the the the the the the their therefore they this to to to to to to truth unexpectedly unsatisfying up ways when while who whom whose wife will with with with without work young	300	3.1337338673799997	1	2	3	runkle + bb + island	1.4088767458281808
RUNKLE, BERTHA BROOKS (MRS LOUIS H. BASH).	Island, il	372	1.75	(3%c) Century	Lit R	p75 O 8 '21 220w	Here Is Lea's Mary The actuality and book chapters crisp especially flimsy have herself in is last more moving of of of offer rather rest shadowy story than the the the there two which writing	300	3.1337338673799997	1	2	3	runkle + bb + island	1.4088767458281808
RUNKLE, BERTHA BROOKS (MRS LOUIS H. BASH).	Island, il	372	1.75	(3%c) Century	N Y Times	p30 N 20 '21 70w	A In Lea Mary New York \ and and antidoted authoritative being book both by clever contemporary creation danseuse delicate human in irony its marrying n non- of of of of of piece runs story strong sympathy the the the this thread through understand- wealth writing	300	3.1337338673799997	1	2	3	runkle + bb + island	1.4088767458281808
HARRIS, KENNETT.	Meet Mr Stegg.	186	1.9		summary	summary	Ann; Benny Bliiek Clyde; Concerning Dakota Getting Hills Introductory Is Mary Mr Rosy- Stegsr The The The The This Tobermory; a an and and are: bird bohunkus: brachycephallc bullwhacker by cautious collection consists country description devoted driver engaging even; familee; flip frontier hand: her his in in llght-of-dawn metamorphosis of of of of of of old old oxen sketch stories the this to told yarns yarns	890	3.8004005340499996	2	2	3	harris + k + meet mr stegg	1.8940860212700599
HARRIS, KENNETT.	Meet Mr Stegg.	186	1.9		N Y Times	p22 Je 26 '21 680w	Harris's Mr The The a are carried enhances entertaining extremely gusto humor impregnates makes off plausibility rich stories tales that that their them with	890	3.8004005340499996	2	2	3	harris + k + meet mr stegg	1.8940860212700599
HARRIS, KENNETT.	Meet Mr Stegg.	186	1.9		Sprlngfd Republican	p5a Ap 3 '21 200w		890	3.8004005340499996	2	2	3	harris + k + meet mr stegg	1.8940860212700599
