bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	avgsentiment	avgsentwmissing	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
FRIESEN, GORDON.	Flamethrowers.	362	3.6	490p	summary	summary	A a a and and and and another are background boy boyhood college community comparable environment Fisher Flamethrowers Franzman goes grows hero In in In in Interest Is Kansas later little Men- nonite novel novel novelist of of of of of Oklahoma parents Peter Peter's pivotal points psychological respects Russian-German some the the The the the the to to up Vardis village West who work youth	3.0	3.4400824742300005	0	1	5	friesen + g + flamethrowers	1.8940860212700599
FRIESEN, GORDON.	Flamethrowers.	362	3.6	490p	Books	pl3 Ja 26 '36 500w	  a a achieve and annoying are as at at at at attempting author be be becomes But career central character characters come conducts continuous credit degrees devoted displays drab drawn excellent Fenrow's Friesen from Furthermore future has he his his his ignorant In in is It J let lives M many may met minor Mr novel objec- of of of of of of of on once pen people Peter's portraying powerful promise psycho-analysis said section several side Smith some stretches success taken that that the the The the the the Then this time times tives to to to tolling too University unsatisfactory varying well which with work writing	3.0	3.4400824742300005	0	1	5	friesen + g + flamethrowers	1.8940860212700599
FRIESEN, GORDON.	Flamethrowers.	362	3.6	490p	Boston Transcript	p2 F 26 '36 400w		3.0	3.4400824742300005	0	1	5	friesen + g + flamethrowers	1.8940860212700599
FRIESEN, GORDON.	Flamethrowers.	362	3.6	490p	-j NY Times	p7 Ja 2G '36 750w	364 a a a always and and and At background ballast best Blumenhof but But but descriptive distorted eccentric F foolish Friesen had he is is is It It its life manners Marsh melancholy moodiness moving not of of of of of often one Peter profundity realism round sometimes story strange strange sturdier T tale the the the This touches ways we weighted wild wish with writing youthful	3.0	3.4400824742300005	0	1	5	friesen + g + flamethrowers	1.8940860212700599
FRIESEN, GORDON.	Flamethrowers.	362	3.6	490p	Sat R	161:440 Ap 4 '36 40w		3.0	3.4400824742300005	0	1	5	friesen + g + flamethrowers	1.8940860212700599
BLACKWOOD, ALGERNON.	Shocks.	93	2.6	Dutton	Booklist	33:156 Ja '37	A adventure Adventures and backwards; Chemical: circle; colonel's Contents: cord; De dealing death; Dr elsewhere Feldman; Fontenoy Full ginger; green Hands land lived man Miss of of of of of otherwise; Revenge: ring; Shocks; short Smith; stories stranger: supernatural survivors; the The The The The The The threefold Tornado Volume who with	3.8	3.70628865979	1	5	8	blackwood + a + shocks	1.6676500256741729
BLACKWOOD, ALGERNON.	Shocks.	93	2.6	Dutton	Books	pl4 O 4 '36 230w	about Algernon also and and are art as Blackwood's comes connoisseurs creeps Cuppy double-Jointed evocations Impossible in in known; literary long matters merit nave of of possess print skeerlest solid such that's the the the the the they things uncanny where Will	3.8	3.70628865979	1	5	8	blackwood + a + shocks	1.6676500256741729
BLACKWOOD, ALGERNON.	Shocks.	93	2.6	Dutton	Boston Transcript	p5 O 10 '36 1150w	[The a a a about all all and and and and and anyone are Bayley beautiful before belief believe Blackwood but care contain enjoy even everything faint find food for for for Gertrude handle his in In In in in influences is It master; material may minds Mr much much much musf mystic mystical nature not of of of People people physically prose see stories stories] supernatural that the the the the them these they they this thought thought three-dimension to to touch unusual which who will with wonder world written	3.8	3.70628865979	1	5	8	blackwood + a + shocks	1.6676500256741729
BLACKWOOD, ALGERNON.	Shocks.	93	2.6	Dutton	N Y Times	pl6 O 4 '36 380w	a a and anderson as author's beautiful beyond by by collection country evident his Is Isaac just lies made more of one our preoccupation reach remarkable senses so that The the the the unexplored waking whole with writing	3.8	3.70628865979	1	5	8	blackwood + a + shocks	1.6676500256741729
BLACKWOOD, ALGERNON.	Shocks.	93	2.6	Dutton	Pratt	p37 winter '37		3.8	3.70628865979	1	5	8	blackwood + a + shocks	1.6676500256741729
BLACKWOOD, ALGERNON.	Shocks.	93	2.6	Dutton	Sat R of Lit	15:12 N 7 '36 170w	a a although and and artist as better Blackwood Blackwood's books But collection doubly even formerly has have he his illuminated impresses in In is Itself Mr Mr occulL of one other present present read recent repeti- seemed sincere so somewhat student The the those tious to who work	3.8	3.70628865979	1	5	8	blackwood + a + shocks	1.6676500256741729
BLACKWOOD, ALGERNON.	Shocks.	93	2.6	Dutton	Springf'd Republican	p7e O 11 '36 250w	a Blackwood But diction enjoy everybody facile fancy find fond has his in is Mr not of of pen polished stories tales telling the the this Those told type vein well who will	3.8	3.70628865979	1	5	8	blackwood + a + shocks	1.6676500256741729
BLACKWOOD, ALGERNON.	Shocks.	93	2.6	Dutton	Times [London] Lit Sup	p654 O 17 '35 220w	a a an at Blackwood by definite defrauded dimly emerges events expert feel fog fog; from good in is last letting loom may method Mr otherwise produce producing provided reader shivers something somewhat story the the This through very will	3.8	3.70628865979	1	5	8	blackwood + a + shocks	1.6676500256741729
WALLACE, DOREEN EILEEN AGNEW (MRS R. H. RASH).	So long to learn.	994	2.5	Collins	Booklist	32:322 Jl '36	a a a a amicability apprehensively Ardwell befell blinded bought catastrophes cure daughter difficulties down farm farm farmer farms—from father fell finely For her him himself In In in in in in Itself Justin Justin land Later love love man man married Mary Mary Mayhew near-by of of of on ordei order out platonic repeal replaced sensitive settled she shell-shock so stay subsidy successive Suffolk suffolk that the the the the the the the the the the their they thoroly three time tithe to to to to together war—but was was watched wheat when when which who with with work young	3.6	3.5708934707899997	2	5	12	wallace + dea + so long to learn	1.7410207452427784
WALLACE, DOREEN EILEEN AGNEW (MRS R. H. RASH).	So long to learn.	994	2.5	Collins		-1 Books p4 Je 21 '36 760w	  a a agricultural agricultural as as As at be book book book C Doreen drama drawn economics England England excellent excellent excellently falls farm Feld field fine full good great handling her her her her home If in in in is is is is It It la love material Miss much novel of of of of of of of of of part portrayal post-war problems R she soli still story technique the the the the the The the this to Wallace Wallace welding were Where would	3.6	3.5708934707899997	2	5	12	wallace + dea + so long to learn	1.7410207452427784
WALLACE, DOREEN EILEEN AGNEW (MRS R. H. RASH).	So long to learn.	994	2.5	Collins	Boston Transcript	p5 Je 13 '36 850w	'So a a A A a a all and and and around arrive at authentically be because because being bitter Black closing consistently courage despite disappointment disappointment does E England events every fact farms forced fore- great handling Harris him his implications Important in interesting Intimately is Is its its Learn' little Long material Miss mortgages Movement no not novel of of of of on once picture place prefers promise promise quite readable reader related resistance sales Shirt shows sign story-telling strenuous taking tale that that the the the the the the to to to to to to truly undertakes W Wallace who with with	3.6	3.5708934707899997	2	5	12	wallace + dea + so long to learn	1.7410207452427784
WALLACE, DOREEN EILEEN AGNEW (MRS R. H. RASH).	So long to learn.	994	2.5	Collins	Christian Science Monitor pll Je	24 '36 470w	a adverse all allows an and and appealing balanced bitterness bravely by by character characterization civilization combine complexities conditions consider development enter evoked good holding in is men Miss modern narrative note of of of of on produce Readable spite story that the The theme they this thought-provoking to to to Wallace which women	3.6	3.5708934707899997	2	5	12	wallace + dea + so long to learn	1.7410207452427784
WALLACE, DOREEN EILEEN AGNEW (MRS R. H. RASH).	So long to learn.	994	2.5	Collins	h Manchester Guardian	"p6 Mr 6 ""36 250w"	a a a admirable and and and and and appeal authentic Basil been book certainly characters combines conditions Counties de desire do do Eastern excitement exciting faculty farming few first for has have Her human In in Is is Is It It its Its knowledge land lessons lost love made make Mrs much much nature nevertheless not of of of quite rather readers seem seilncourt she should story story study te'ls than that the the the the them themselves they to to to too; unfold Wallace's what what whose will with would years	3.6	3.5708934707899997	2	5	12	wallace + dea + so long to learn	1.7410207452427784
WALLACE, DOREEN EILEEN AGNEW (MRS R. H. RASH).	So long to learn.	994	2.5	Collins	New Statesman & Nation	11:530 Ap 4 '36 70w	a account admirable agriculture an and appendage are book but during English enjoy farming fifteen find human If If in Interested Justin last loves Mary may Miss of of of of of on Peter ponderous prefer Quennell relationships rest somewhat study the the the the the the to treatise vicissitudes Wallace's will years: you you you you	3.6	3.5708934707899997	2	5	12	wallace + dea + so long to learn	1.7410207452427784
WALLACE, DOREEN EILEEN AGNEW (MRS R. H. RASH).	So long to learn.	994	2.5	Collins	N Y Times	p7 Je 21 '36 HOOw	a a advance ag Aside big book crises culminating drama- especially fictional forward from grip has history if imagination In in Its Its J localized made marks Miss noticeable of on page present previously S side Southron steady stride swift that the the the tization unique value very Wallace's work	3.6	3.5708934707899997	2	5	12	wallace + dea + so long to learn	1.7410207452427784
WALLACE, DOREEN EILEEN AGNEW (MRS R. H. RASH).	So long to learn.	994	2.5	Collins	Pratt	p41 autumn '36		3.6	3.5708934707899997	2	5	12	wallace + dea + so long to learn	1.7410207452427784
WALLACE, DOREEN EILEEN AGNEW (MRS R. H. RASH).	So long to learn.	994	2.5	Collins	Sat R of Lit	14:21 Jl 4 '36 260w	A a a absorbing accounts almost altogether American American and and and but C C convincing depression detailed during english farm farmers farming for given hard hardships harsh has Is it It kind long lowness may mel- much not not novels of of of of of of over plcturesqueness politics prove quality raids readers romantic same slower smoother softens story Suffolk that that the the the the times tithe to to to traditional vivid well-written	3.6	3.5708934707899997	2	5	12	wallace + dea + so long to learn	1.7410207452427784
WALLACE, DOREEN EILEEN AGNEW (MRS R. H. RASH).	So long to learn.	994	2.5	Collins	Spec	156:412 Mr 6 '36 650w	Adrian Bell by Reviewed	3.6	3.5708934707899997	2	5	12	wallace + dea + so long to learn	1.7410207452427784
WALLACE, DOREEN EILEEN AGNEW (MRS R. H. RASH).	So long to learn.	994	2.5	Collins	Tims	27:78 Je 22 '36 470w		3.6	3.5708934707899997	2	5	12	wallace + dea + so long to learn	1.7410207452427784
WALLACE, DOREEN EILEEN AGNEW (MRS R. H. RASH).	So long to learn.	994	2.5	Collins	Times [London] Lit Sup	"p201 Mr 7 ""36 350w"	'the and be book character- contains de drawing frank functions good in in In including is It its land.' landscape mode much novels now obstetrics of of of painting physical riguvur seem sensitive Suffolk The the the the to treatment which	3.6	3.5708934707899997	2	5	12	wallace + dea + so long to learn	1.7410207452427784
PARTRIDGE, BELLAMY.	Thunder shower.	751	2.0	(Arcadia house publication) 280p Godwin	Books	pl7 My 24 '36 130w	752 a a a affair—a air almost ancient and and and and and as as Bell Books both by by citizens—like clears complacently concrete consciously elms engendered everybody—including Falls feud free-for-all generations hinges is it its its its leaves Like Lisle love modern modern Mr of old-fashioned older open Partridge's plot political proud readers—smiling refreshed Reviewed setting—are shower Simpson the The the the the thunder to upon village well younger	4.0	3.77505154639	3	1	2	partridge + b + thunder shower	1.9257075672174309
PARTRIDGE, BELLAMY.	Thunder shower.	751	2.0	(Arcadia house publication) 280p Godwin	N Y Times pll My	24 '36 130w	'Thunder ages all an and and and and appetizing author author's be Beatrice but but by by can can't characters combines eager enthusiasm expert Falls flavor freshness full given has has has help his in in In interest is isn't it It it kid-brother liked lived of of of only or own plotting political pranks romance scheming setting share Sherman Shower' Simpson slick small-town story that the the The The the their up-State village who wire-pulling writing you youthful	4.0	3.77505154639	3	1	2	partridge + b + thunder shower	1.9257075672174309
FROST, FRANCES M.	Innocent summer [11.	363	2.5	by Dorothy Waugh]. 365p Farrar	summary	summary	A a a a a a a an and and as boy Burke; children children—precocious consumptive country domineering Don Dorothy education England Evans father Fern first flve-year-old friend; from girl good group his household impressions In in is it joys jpattern life lives make Mart New novel novel of of of of of of orphan Paul poet's reactions Sam see sensi- small story tells ten-year-old terror the The the the the the Their they thirteen; tive—are town tragedies uncongenial up village wants which who who who	3.33333333333	3.463395189	4	6	15	frost + fm + innocent summer	1.956973886066068
FROST, FRANCES M.	Innocent summer [11.	363	2.5	by Dorothy Waugh]. 365p Farrar	Atlantic F	'36 450w	  a a a almost an an and and and been beside between between blot book book But canvas captured child dorothy England episode error fact Frost glowing has her inclined insignificance into is is is landscape little lives long lovely Manning Mary Miss New of of on overcrowd pages perfect Sam scene sink taste that The The the the the the these things to too	3.33333333333	3.463395189	4	6	15	frost + fm + innocent summer	1.956973886066068
FROST, FRANCES M.	Innocent summer [11.	363	2.5	by Dorothy Waugh]. 365p Farrar	Books	p4 F 2 '36 700w	  'Innocent a a a adds and and and as as author's build but C climax color countryside description does draws emotion essays expression familiar Feld field foothold from Frost fullest growing her her her her Here im- in in in Is is is land less Miss moving narrative not novelist of of of of of of paces people placing plications poet powerful R rank reputation same secure she Stirring strength succeed Summer' tale technique that that the the the the the the the through to up Vermont When	3.33333333333	3.463395189	4	6	15	frost + fm + innocent summer	1.956973886066068
FROST, FRANCES M.	Innocent summer [11.	363	2.5	by Dorothy Waugh]. 365p Farrar	Boston Transcript	p2 F 12 '36 900w	Berkman by Reviewed Sylvia	3.33333333333	3.463395189	4	6	15	frost + fm + innocent summer	1.956973886066068
FROST, FRANCES M.	Innocent summer [11.	363	2.5	by Dorothy Waugh]. 365p Farrar	-| Cath World	"143:250 My ""36 140w"	a a about acute adults and and are author be children deeply descriptions effort for Frances Frost handles has her her however In In inclines intimate irreverently Is It material mature novel observant of powerful ruthlessness sharply she skill sometimes story sympathetic the the this to to Vermont village with written	3.33333333333	3.463395189	4	6	15	frost + fm + innocent summer	1.956973886066068
FROST, FRANCES M.	Innocent summer [11.	363	2.5	by Dorothy Waugh]. 365p Farrar	Chicago Dally Tribune	pl4 F 1 '36 160w	[The and and and and and author] bringing but Butcher characters Fanny fresh gayeties has hates her her her in In In lovely loves not of of only picture poet's pointing prose sharp sharply something succeeded tale the the the thoughts to tragedies village vivid whole young	3.33333333333	3.463395189	4	6	15	frost + fm + innocent summer	1.956973886066068
FROST, FRANCES M.	Innocent summer [11.	363	2.5	by Dorothy Waugh]. 365p Farrar	-I Nation	142:198 F 12 '36 460w	  a A a about accuracy all and and and as as as as awakened be book book- but called children's Cod- contain demands discovery doubt elements enchantment enough except familiar feeling Florence for For forgotten fully good has however Identity if imagination In in is is is is is Is Is It it Its its man memory memory merit momentarily must nature no nostalgia not nothing novel of of of of of oneself only or pattern pleasure quicken reactions reader readers recapturing repeated satisfaction some standard stricter subtler than that that The the the the the The the the There there this to truth truth unexpected vivid well-known what without yesterday	3.33333333333	3.463395189	4	6	15	frost + fm + innocent summer	1.956973886066068
FROST, FRANCES M.	Innocent summer [11.	363	2.5	by Dorothy Waugh]. 365p Farrar	\- New Repub	86:90 F 26 '36 380w	a a a acute and and and and are are are as as as As as attic author's be better better book—Paul's boughs—that but caterpillar characters Clark crises day description detail Eleanor far father—become Fern fiction first found Frost have hemlock his In In in interest Is is it its known light make meeting midst Miss more more much no novel observations of of of of of on one or overloaded parrot passages passages—descriptions perhaps pieces poems poet poetry points poles prose quality relation reviewed Sam's say separate should so static stuffed successful suicide than than than that the the the the the the the the the there These this to uneven; weakest who with with writer	3.33333333333	3.463395189	4	6	15	frost + fm + innocent summer	1.956973886066068
FROST, FRANCES M.	Innocent summer [11.	363	2.5	by Dorothy Waugh]. 365p Farrar	New Statesman & Nation	12:322 S 5 '36 200w	      adolescent adolescent affair after an and and and are as at attempts carefully childish children considerable convey describe Except experience Frost Frost glancing happenings have her her hypersensitive imagined In innocent keeps love manages may Miss Miss narrative nearly not not of of Peter quality Quennell quite readers should skill so so summer take that the the the the the themselves they title-page to to unsentimental; unspotted warning With	3.33333333333	3.463395189	4	6	15	frost + fm + innocent summer	1.956973886066068
FROST, FRANCES M.	Innocent summer [11.	363	2.5	by Dorothy Waugh]. 365p Farrar	NY Times	p7 Ja 26 '36 lOOOw	'Innocent a altered an and and and As because book can case certain defects Dorothy E effort especially forgive form Frost H has has her however in In in Is It lapses little Miss moods moving much novel of of often on One only original processes recurr scenes sensitive she situations slightly Sometimes spends static- Summer' the the these thought too too tracing trivial undeniable Walton whole written	3.33333333333	3.463395189	4	6	15	frost + fm + innocent summer	1.956973886066068
