,occurence
N Y Times,16813
Sat R of Lit,13261
summary,12136
Booklist,11449
Boston Transcript,9828
Books,9330
Times [London] Lit Sup,6113
New Yorker,4985
New Repub,4506
Library J,4414
Springf'd Republican,4309
Spec,4112
NY Times,3771
Nation,3746
Kirkus,3440
Wis Lib Bui,3001
Outlook,2743
San Francisco Chronicle,2564
Sprlngf'd Republican,2287
Cleveland Open Shelf,2153
Time,2086
N Y Herald Tribune Wkly Bk R,2018
Bookm,2010
Lit R,1894
Sat R,1833
Weekly Book Review,1733
Commonweal,1724
Cath World,1721
Manchester Guardian,1630
Klrkus,1619
Books (N Y Herald Tribune),1508
Pratt,1429
Christian Science Monitor,1352
New Statesman & Nation,1350
The Times [London] Lit Sup,1347
Book Week,1294
WIs Lib Bui,1155
Christian Century,1137
N Y World,1084
N Y Evening Post,1015
New Statesman,983
A L A Bkl,971
Ind,968
Dial,878
Cleveland,878
Pittsburgh Mo Bui,860
Nation and Ath,786
N Y Tribune,781
Int Bk R,764
Chicago Sun Book Week,648
Atlantic,621
N Y Herald Tribune Bk R,579
Bookmark,568
h N Y Times,568
N Y Time*,552
Chicago Sun,524
Canadian Forum,468
Chicago Sunday Tribune,463
Yale R n s,461
-I NY Times,455
h Sat R of Lit,446
Forum,418
Ath,409
Pub W,403
Chicago Daily Tribune,384
No Am,375
R of Rs,370
Boston Globe,370
Survey,336
Churchman,325
Horn Bk,323
New Statesman and Nation,300
-I Sat R of Lit,277
Chicago Dally Tribune,269
-| NY Times,263
Springfd Republican,230
NY Tribune,226
NY Evening Post,223
Horn Bk M,220
NY Herald Tribune Wkly Bk R,212
S,204
-| Books,190
Springfield Republican,189
N,187
Lit D,176
Freeman,173
Time* [London] Lit Sup,164
NY World,163
h Nation,150
Book*,148
Survey G,145
Springf d Republican,143
h New Repub,141
Books plO Mr,137
h Boston Transcript,137
-| Boston Transcript,135
Current Hist,134
-) NY Times,133
Books plO Ap,131
New Statesman &. Nation,130
h Spec,129
Wit Lib Bui,126
Living Age,126
Atlantic Bookshelf,123
Books plO O,122
Boston Transcript pi O,121
Books plO Ag,120
Boston Transcript pi S,118
h Times [London] Lit Sup,117
Boston Transcript pi Mr,117
Books plO Jl,115
Boston Transcript pi Ap,112
NY Time*,112
Books plO S,110
Books plO Ja,109
Boston Transcript pi N,108
Books plO F,108
The Times [London] th Sup,107
Sprlngfd Republican,107
N Y Tlmes,105
Books plO My,105
h Lit R,104
Review,103
-I Spec,103
U S Quarterly Bkl,103
Boston Transcript pi My,100
Boston Transcript pi Ag,99
N Y Tlmei,97
N Y Post,95
-| Times [London] Lit Sup,94
h Books,93
School & Society,92
Boston Transcript pi Jl,92
Bookllst,91
Pittsburgh,91
Boston Transcript pi Je,91
N Y Herald Tribune,90
World Tomorrow,89
Chicago Sun Ap,88
St Louis,88
-f- Boston Transcript,86
h New Yorker,86
Books plO N,86
Dlal,83
(- N Y Times,83
Boston Transcript pi F,83
-I Books,83
Books pll Ag,83
Christian Science Monitor pll Je,82
Books pll Ja,82
Klrkui,81
-I Times [London] Lit Sup,81
-| Sat R of Lit,81
h Sat R,81
-) Sat R of Lit,80
N Y Call,77
Natlon,76
Ann Am Acad,76
Chicago Sun Jl,76
-I New Repub,75
h Outlook,75
N Y World pllm Ap,74
-I Boston Transcript,74
Christian Science Monitor pll N,74
N Y New Tech Bks,74
-I New Yorker,73
-I Nation,72
Boston Transcript pi Ja,70
Foreign Affairs,70
Books plO D,69
Sprlngf d Republican,69
Chicago Sun Mr,68
Chicago Sun S,66
Chicago Sun My,66
Boston Transcript pi D,65
Chicago Sun Ag,64
Christian Science Monitor pll S,64
N Y Tlmet,64
Klrkut,63
Chicago Sun Je,62
America,62
Books plO Je,62
N Y Br Lib News,60
Christian Science Monitor pll Ag,59
Survey Q,59
Christian Science Monitor pll O,59
Boo km,59
Chicago Sun Ja,59
New Outlook,58
-) Books,58
-\ NY Times,57
Living Church,56
Book* (N Y Herald Tribune),56
Yale R n a,56
N Y Times plO S,55
N Y Timet,54
Crozer Q,54
N Y Times plO O,54
N Y World pllm Mr,53
NY Herald Tribune Bk R,53
-i Sat R of Lit,53
Christian Science Monitor pll Ja,52
Wli Lib Bui,52
-| New Repub,52
Books pll F,52
-i NY Times,51
Sprinaf'd Republican,51
Bellman,51
h Commonweal,51
h Bookm,51
f- Sat R of Lit,50
Books pi,50
Wis Lib Bul,50
-| New Yorker,50
h Cath World,50
Christian Science Monitor pll Jl,49
Detroit News,49
N Y Timei,49
-) Boston Transcript,49
-I Sat R,49
h Springf'd Republican,48
Books pll My,48
Christian Science Monitor pll D,48
Books pll Je,48
Chicago Sun O,47
Social Studies,47
N Y World pllm F,47
N Y Times plO Jl,47
h Books (N Y Herald Tribune),46
Kirkut,46
Christian Science Monitor pll F,46
h Dial,46
Christian Science Monitor plO S,46
-I Lit R,46
Atlantic Ap,45
Nature,45
Books pll Mr,45
Am Hist R,45
Am J Soc,44
Chicago Sun F,44
N Y Times plO Je,44
-j NY Times,44
Chicago Sun N,44
h New Statesman,44
(- Sat R of Lit,43
-| Spec,43
J Home Econ,42
J Religion,42
N Y Times plO D,42
Christian Science Monitor plO Jl,42
h N Y Herald Tribune Wkly Bk R,42
Sat R Of Lit,42
Greensboro (N.C.) Daily News,42
Christian Science Monitor pll My,42
-| Bookm,41
N Y Times plO My,41
h The Times [London] Lit Sup,40
-\ Sat R of Lit,40
-| Nation,40
Books pll Ap,40
-NY Times,40
r- N Y Times,40
h Nation and Ath,39
Christian Science Monitor pll Mr,39
h N Y Tribune,39
Special Libraries,38
-I Library J,38
N Y Times plO Mr,38
Scientific Bk Club R,38
(- Books,38
Kirkui,37
N Y Times plO N,37
ind,37
-| NY Herald Tribune Wkly Bk R,36
-I Springf'd Republican,36
f- N Y Times,36
Theatre Arts,36
Atlantic D,36
Atlantic N,35
Springf’d Republican,35
-) Times [London] Lit Sup,35
-I Outlook,35
Christian Science Monitor plO O,35
r N Y Times,35
h Library J,34
Am Econ R,34
B & T,34
Christian Science Monitor plO N,34
WIs Lib Bull,34
Weekly R,34
Christian Science Monitor plO Ag,32
h N Y World,32
N Y Times plO Ag,32
-f- N Y Times,32
Am Soc R,32
-| New Statesman,32
