original_pub,occurrence,corrected_pub,note
N Y Times,16813,N Y Times,
Sat R of Lit,13261,Sat R of Lit,
summary,12136,summary,
Booklist,11449,Booklist,
Boston Transcript,9828,Boston Transcript,
Books,9330,Books,merged
Times [London] Lit Sup,6113,Times [London] Lit Sup,
New Yorker,4985,New Yorker,
New Repub,4506,New Repub,
Library J,4414,Library J,
Springf'd Republican,4309,Springfield Republican,merged
Spec,4112,Spec,
NY Times,3771,N Y Times,merged
Nation,3746,Nation,
Kirkus,3440,Kirkus,
Wis Lib Bui,3001,Wis Lib Bui,
Outlook,2743,Outlook,New Outlook?
San Francisco Chronicle,2564,San Francisco Chronicle,
Sprlngf'd Republican,2287,Springfield Republican,merged
Cleveland Open Shelf,2153,Cleveland Open Shelf,
Time,2086,Time,
N Y Herald Tribune Wkly Bk R,2018,N Y Herald Tribune Wkly Bk R,
Bookm,2010,Bookm,probably Books or Book marks?
Lit R,1894,Lit R,Sat R of Lit?
Sat R,1833,Sat R,Sat R of Lit?
Weekly Book Review,1733,Weekly Book Review,
Commonweal,1724,Commonweal,
Cath World,1721,Cath World,
Manchester Guardian,1630,Manchester Guardian,
Klrkus,1619,Kirkus,merged
Books (N Y Herald Tribune),1508,Books (N Y Herald Tribune),Books or N Y Herald Tribune?
Pratt,1429,Pratt,
Christian Science Monitor,1352,Christian Science Monitor,
New Statesman & Nation,1350,New Statesman & Nation,
The Times [London] Lit Sup,1347,Times [London] Lit Sup,merged
Book Week,1294,Book Week,
WIs Lib Bui,1155,Wis Lib Bui,merged
Christian Century,1137,Christian Century,
N Y World,1084,N Y World,
N Y Evening Post,1015,N Y Evening Post,
New Statesman,983,New Statesman & Nation,merged
A L A Bkl,971,A L A Bkl,ALA book list?
Ind,968,Ind,
Cleveland,878,Cleveland Open Shelf,merged
Dial,878,Dial,
Pittsburgh Mo Bui,860,Pittsburgh Mo Bui,
Nation and Ath,786,Nation and Ath,
N Y Tribune,781,N Y Tribune,
Int Bk R,764,Int Bk R,
Chicago Sun Book Week,648,Chicago Sun Book Week,
Atlantic,621,Atlantic,
N Y Herald Tribune Bk R,579,N Y Herald Tribune Wkly Bk R,merged
Bookmark,568,Bookmark,
h N Y Times,568,N Y Times,merged
N Y Time*,552,N Y Times,merged
Chicago Sun,524,Chicago Sun Book Week,Chicago Sun Book Week or Chicago Sunday Tribune?
Canadian Forum,468,Canadian Forum,
Chicago Sunday Tribune,463,Chicago Sunday Tribune,
Yale R n s,461,Yale R,
#NAME?,455,N Y Times,merged
h Sat R of Lit,446,Sat R of Lit,merged
Forum,418,Forum,
Ath,409,Ath,Nation and Ath?
Pub W,403,Pub W,
Chicago Daily Tribune,384,Chicago Daily Tribune,
No Am,375,No Am,
Boston Globe,370,Boston Globe,
R of Rs,370,R of Rs,
Survey,336,Survey,to be confirmed
Churchman,325,Churchman,
Horn Bk,323,Horn Bk,
New Statesman and Nation,300,New Statesman & Nation,merged
-I Sat R of Lit,277,Sat R of Lit,merged
Chicago Dally Tribune,269,Chicago Daily Tribune,corrected
-| NY Times,263,N Y Times,merged
Springfd Republican,230,Springfield Republican,merged
NY Tribune,226,N Y Tribune,merged
NY Evening Post,223,N Y Evening Post,merged
Horn Bk M,220,Horn Bk,merged
NY Herald Tribune Wkly Bk R,212,N Y Herald Tribune Wkly Bk R,merged
S,204,S,to be confirmed
-| Books,190,Books,merged
Springfield Republican,189,Springfield Republican,
N,187,N,to be confirmed
Lit D,176,Lit D,
Freeman,173,Freeman,
